Année,Province/Territoires,CategoryID,Catégories,Rollup,CO2,CH4,CH4eq,N2O,N2Oeq,HFCs,PFCs,SF6,NF3,CO2E,Unit
1990,l'Île-du-Prince-Édouard,145,Ciment,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,l'Île-du-Prince-Édouard,146,Autres industries manufacturières,FALSE,54.80202333,0.00171763,0.042940758,0.001276424,0.380374261,0,0,0,0,55.22533834,kt
1990,l'Île-du-Prince-Édouard,150,Construction,FALSE,11.0527304,0.000115086,0.00287715,0.000224541,0.066913218,0,0,0,0,11.12252077,kt
1990,l'Île-du-Prince-Édouard,160,Commercial et institutionnel,FALSE,198.9997487,0.037393398,0.934834962,0.007838148,2.335768165,0,0,0,0,202.2703518,kt
1990,l'Île-du-Prince-Édouard,170,Résidentiel,FALSE,343.8765354,1.577212895,39.43032238,0.019389411,5.778044624,0,0,0,0,389.0849024,kt
1990,l'Île-du-Prince-Édouard,180,Agriculture et foresterie,FALSE,18.475849,0.000175604,0.0043901,0.000209374,0.062393452,0,0,0,0,18.54263255,kt
1990,l'Île-du-Prince-Édouard,256,Transport par pipeline,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Nouvelle-Écosse,110,Production de chaleur et d'électricité du secteur public ,FALSE,6868.115612,0.067444768,1.686119196,0.106256842,31.66453881,0,0,0,0,6901.46627,kt
1990,Nouvelle-Écosse,120,Industries de raffinage du pétrole ,FALSE,615.0401113,0.016692704,0.417317588,0.006787779,2.022758035,0,0,0,0,617.4801869,kt
1990,Nouvelle-Écosse,130,Extraction de pétrole et de gaz,FALSE,45.55031747,0.0006264,0.015660006,0.002818801,0.840002722,0,0,0,0,46.4059802,kt
1990,Nouvelle-Écosse,131,Exploitation minière,FALSE,38.544397,0.000883044,0.0220761,0.000968824,0.288709552,0,0,0,0,38.85518265,kt
1990,Nouvelle-Écosse,141,Sidérurgie,FALSE,74.216496,0.00282192,0.070548,0.001505024,0.448497152,0,0,0,0,74.73554115,kt
1990,Nouvelle-Écosse,142,Métaux non ferreux,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Nouvelle-Écosse,143,Produits chimiques,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Nouvelle-Écosse,144,Pâtes et papiers,FALSE,393.5657347,0.063512804,1.58782009,0.044185537,13.16729,0,0,0,0,408.3208448,kt
1990,Nouvelle-Écosse,145,Ciment,FALSE,105.932527,0.00156096,0.039024,0.000879017,0.261947026,0,0,0,0,106.233498,kt
1990,Nouvelle-Écosse,146,Autres industries manufacturières,FALSE,185.4580339,0.005770398,0.14425995,0.005199643,1.549493614,0,0,0,0,187.1517875,kt
1990,Nouvelle-Écosse,150,Construction,FALSE,49.2654117,0.000540705,0.013517625,0.001231606,0.367018588,0,0,0,0,49.64594791,kt
1990,Nouvelle-Écosse,160,Commercial et institutionnel,FALSE,809.4950539,0.176763333,4.419083325,0.016843377,5.019326346,0,0,0,0,818.9334636,kt
1990,Nouvelle-Écosse,170,Résidentiel,FALSE,1975.512886,8.787234752,219.6808688,0.101941844,30.37866964,0,0,0,0,2225.572425,kt
1990,Nouvelle-Écosse,180,Agriculture et foresterie,FALSE,103.5658125,0.001038778,0.02596945,0.001311193,0.390735514,0,0,0,0,103.9825175,kt
1990,Nouvelle-Écosse,256,Transport par pipeline,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Nouveau-Brunswick,110,Production de chaleur et d'électricité du secteur public ,FALSE,5981.179867,0.063935267,1.598381676,0.113766213,33.9023316,0,0,0,0,6016.68058,kt
1990,Nouveau-Brunswick,120,Industries de raffinage du pétrole ,FALSE,1151.814875,0.026913,0.672825012,0.024242256,7.224192333,0,0,0,0,1159.711892,kt
1990,Nouveau-Brunswick,131,Exploitation minière,FALSE,125.4868942,0.0026865,0.0671625,0.00226905,0.6761769,0,0,0,0,126.2302336,kt
1990,Nouveau-Brunswick,141,Sidérurgie,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Nouveau-Brunswick,142,Métaux non ferreux,FALSE,89.486477,0.00107355,0.02683875,0.000675332,0.201248936,0,0,0,0,89.71456469,kt
1990,Nouveau-Brunswick,143,Produits chimiques,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Nouveau-Brunswick,144,Pâtes et papiers,FALSE,1281.635441,0.135370054,3.384251338,0.092994384,27.71232641,0,0,0,0,1312.732018,kt
1990,Nouveau-Brunswick,145,Ciment,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Nouveau-Brunswick,146,Autres industries manufacturières,FALSE,234.2130522,0.008035861,0.200896516,0.005734407,1.708853327,0,0,0,0,236.122802,kt
1990,Nouveau-Brunswick,150,Construction,FALSE,68.1177679,0.000968413,0.024210325,0.001519421,0.452787458,0,0,0,0,68.59476568,kt
1990,Nouveau-Brunswick,160,Commercial et institutionnel,FALSE,576.2754575,0.00695918,0.1739795,0.010412812,3.103017976,0,0,0,0,579.552455,kt
1990,Nouveau-Brunswick,170,Résidentiel,FALSE,918.107475,8.342952276,208.5738069,0.095898206,28.57766527,0,0,0,0,1155.258947,kt
1990,Nouveau-Brunswick,180,Agriculture et foresterie,FALSE,52.6710867,0.000505886,0.01264715,0.000658741,0.196304818,0,0,0,0,52.88003867,kt
1990,Nouveau-Brunswick,256,Transport par pipeline,FALSE,0,0,0,0,0,0,0,0,0,0,kt
